CATEGORY,FOOD ITEM,QUANTITY,UNIT,PROTEIN,NET CARBS,DIETARY FIBRE,TOTAL SUGARS,FATS,CALORIES,unit_category,Protein_Level,Carbs_Level,Fats_Level,Refined_Cluster_Description,Cluster_Number,Reverse_Cluster_Number
FLOUR,"Flour, wheat, wholemeal, self-raising",100,G,11.4,65.3,11.3,0.9,2.1,348.3,Base Units,High,Very High,Low,"High, Very High, Low",96,28
FRANKFURTS,"Frankfurt, cooked",,,14.3,3.4,1.8,0.2,19.9,253.5,Unknown,High,Low,Very High,"High, Low, Very High",84,40
FROZEN MILK PRODUCTS,"Ice cream, vanilla flavour, regular fat",,,3.7,20.5,0.0,18.4,10.6,192.2,Unknown,Low,High,High,"Low, High, High",43,81
FROZEN MILK PRODUCTS,"Ice cream, vanilla flavour, premium or rich (~15% fat)",,,3.2,22.5,0.0,19.7,13.5,224.3,Unknown,Low,High,High,"Low, High, High",43,81
FRUIT DRINKS,"Fruit drink, apple juice",100,G,0.1,8.2,0.0,7.8,0.0,33.2,Base Units,Very Low,Medium,Very Low,"Very Low, Medium, Very Low",10,114
FRUIT DRINKS,"Fruit drink, cranberry",100,G,0.0,11.3,0.1,11.3,0.0,45.4,Base Units,Very Low,Medium,Very Low,"Very Low, Medium, Very Low",10,114
FRUIT DRINKS,"Fruit drink, orange juice",100,G,0.2,9.6,0.0,9.6,0.0,39.2,Base Units,Very Low,Medium,Very Low,"Very Low, Medium, Very Low",10,114
FRUITS,APPLE,1,MEDIUM,0.52,27.62,0.0,3.3,0.34,104.0,Unknown,Very Low,High,Very Low,"Very Low, High, Very Low",15,109
FRUITS,BANANA,100,G (1 SERVE),1.09,22.84,0.0,3.3,0.33,89.0,Unknown,Very Low,High,Very Low,"Very Low, High, Very Low",15,109
FRUITS,"BANANA, MEDIUM",1,MEDIUM,1.28,26.9,0.0,3.3,0.38,105.0,Unknown,Very Low,High,Very Low,"Very Low, High, Very Low",15,109
FRUITS,FRESH PINEAPPLE JUICE,30,ML,0.12,4.1,0.0,3.3,0.0,16.0,Base Units,Very Low,Low,Very Low,"Very Low, Low, Very Low",5,119
FRUITS,FROZEN BLUEBERRIES,100,G (1 SERVE),0.42,12.17,0.0,3.3,0.64,51.0,Unknown,Very Low,Medium,Low,"Very Low, Medium, Low",11,113
FRUITS,FROZEN MIXED BERRIES,1,CUP (1 SERVE),1.33,22.66,0.0,3.3,0.66,93.0,Unknown,Low,High,Low,"Low, High, Low",41,83
FRUITS,FROZEN RASPBERRIES,100,G,2.0,17.0,9.0,2.0,0.0,70.0,Base Units,Low,High,Very Low,"Low, High, Very Low",40,84
FRUITS,FROZEN STRAWBERRIES,50,G,0.22,4.56,0.0,3.3,0.05,18.0,Base Units,Very Low,Low,Very Low,"Very Low, Low, Very Low",5,119
FRUITS,KIWI,100,G,1.06,14.0,0.0,3.3,0.44,58.0,Base Units,Very Low,High,Very Low,"Very Low, High, Very Low",15,109
FRUITS,LEMON,1,LEMON,0.72,6.05,0.0,3.3,0.2,19.0,Unknown,Very Low,Low,Very Low,"Very Low, Low, Very Low",5,119
FRUITS,MANDARIN,1,MANDARIN,0.69,11.33,0.0,3.3,0.26,45.0,Unknown,Very Low,Medium,Very Low,"Very Low, Medium, Very Low",10,114
FRUITS,MANGO,0.5,HALF A CUP,0.67,12.35,0.0,3.3,0.31,50.0,Unknown,Very Low,Medium,Very Low,"Very Low, Medium, Very Low",10,114
FRUITS,MANGO,90,G,0.73,13.48,0.0,3.3,0.34,54.0,Base Units,Very Low,High,Very Low,"Very Low, High, Very Low",15,109
FRUITS,MIXED BERRIES,100,G,0.69,9.72,0.0,3.3,0.31,40.0,Base Units,Very Low,Medium,Very Low,"Very Low, Medium, Very Low",10,114
FRUITS,ORANGE,1,ORANGE (MEDIUM),1.23,15.39,0.0,3.3,0.15,62.0,Unknown,Very Low,High,Very Low,"Very Low, High, Very Low",15,109
FRUITS,PINEAPPLE,100,G,0.5,13.12,0.0,3.3,0.12,50.0,Base Units,Very Low,High,Very Low,"Very Low, High, Very Low",15,109
FRUITS,PINK LADY APPLE,1,APPLE (MEDIUM),0.36,19.06,0.0,3.3,0.23,72.0,Unknown,Very Low,High,Very Low,"Very Low, High, Very Low",15,109
FRUITS,ROCKMELON,35,G,0.21,2.31,0.0,3.3,0.07,10.0,Base Units,Very Low,Low,Very Low,"Very Low, Low, Very Low",5,119
FRUITS,STRAWBERRIES,150,G,1.01,11.52,0.0,3.3,0.45,48.0,Base Units,Very Low,Medium,Very Low,"Very Low, Medium, Very Low",10,114
FRUITS,WATERMELON,200,G,1.22,15.1,0.0,3.3,0.3,60.0,Base Units,Very Low,High,Very Low,"Very Low, High, Very Low",15,109
FRUITS,"Paprika, dry powder",100,G,14.1,19.1,34.9,10.3,12.9,318.7,Base Units,High,High,High,"High, High, High",93,31
FRUITS,"Pepper, black, ground",100,G,10.4,38.6,25.3,0.6,3.3,276.3,Base Units,High,High,Low,"High, High, Low",91,33
FUIT JUICE,"Juice, apple, commercial, added vitamin C",100,G,0.2,7.0,0.2,7.0,0.0,29.2,Base Units,Very Low,Low,Very Low,"Very Low, Low, Very Low",5,119
FUIT JUICE,"Juice, apple & blackcurrant, commercial",100,G,0.2,9.3,0.0,9.3,0.0,38.0,Base Units,Very Low,Medium,Very Low,"Very Low, Medium, Very Low",10,114
FUIT JUICE,"Juice, lemon",100,G,0.6,1.8,2.5,1.8,0.2,16.4,Base Units,Very Low,Low,Very Low,"Very Low, Low, Very Low",5,119
FUIT JUICE,"Juice, orange, commercial",100,G,0.8,1.2,4.1,1.2,0.2,18.0,Base Units,Very Low,Low,Very Low,"Very Low, Low, Very Low",5,119
FUIT JUICE,"Juice, orange & mango, commercial",100,G,0.6,7.7,0.2,7.7,0.0,33.6,Base Units,Very Low,Medium,Very Low,"Very Low, Medium, Very Low",10,114
GOAT,"Goat, all cuts, separable fat, raw",100,G,12.2,0.0,0.0,0.0,44.6,450.2,Base Units,High,Very Low,Very High,"High, Very Low, Very High",79,45
GOAT,"Goat, all cuts, separable fat, baked, no added fat",100,G,10.0,0.0,0.0,0.0,64.5,620.5,Base Units,High,Very Low,Very High,"High, Very Low, Very High",79,45
GOAT,"Goat, forequarter, lean, raw",100,G,21.6,0.0,0.0,0.0,1.8,102.6,Base Units,Very High,Very Low,Low,"Very High, Very Low, Low",101,23
GOAT,"Goat, forequarter, lean, baked, no added fat",100,G,30.8,0.0,0.0,0.0,4.2,161.0,Base Units,Very High,Very Low,Medium,"Very High, Very Low, Medium",102,22
GOAT,"Goat, leg, lean, raw",100,G,22.2,0.0,0.0,0.0,2.1,107.7,Base Units,Very High,Very Low,Low,"Very High, Very Low, Low",101,23
GOAT,"Goat, leg, lean, baked, no added fat",100,G,33.8,0.0,0.0,0.0,3.2,164.0,Base Units,Very High,Very Low,Low,"Very High, Very Low, Low",101,23
GOAT,"Goat, loin, lean, raw",100,G,22.2,0.0,0.0,0.0,1.4,101.4,Base Units,Very High,Very Low,Low,"Very High, Very Low, Low",101,23
GOAT,"Goat, loin, lean, baked, no added fat",100,G,29.2,0.0,0.0,0.0,3.1,144.7,Base Units,Very High,Very Low,Low,"Very High, Very Low, Low",101,23
GOAT,"Goat, meat, all cuts, lean, raw",100,G,22.0,0.0,0.0,0.0,1.8,104.2,Base Units,Very High,Very Low,Low,"Very High, Very Low, Low",101,23
GOAT,"Goat, meat, all cuts, lean, baked, no added fat",100,G,31.3,0.0,0.0,0.0,3.5,156.7,Base Units,Very High,Very Low,Low,"Very High, Very Low, Low",101,23
GOAT,"Goat, meat, all cuts, lean, casseroled, no added fat",100,G,43.6,0.0,0.0,0.0,3.5,205.9,Base Units,Very High,Very Low,Low,"Very High, Very Low, Low",101,23
GOAT,"Goat, meat, all cuts, untrimmed, raw",100,G,21.2,0.0,0.0,0.0,5.6,135.2,Base Units,Very High,Very Low,Medium,"Very High, Very Low, Medium",102,22
GOAT,"Goat, meat, all cuts, untrimmed, casseroled, no added fat ",100,G,37.8,0.0,0.0,0.0,10.0,241.2,Base Units,Very High,Very Low,High,"Very High, Very Low, High",103,21
GOAT,"Goat, meat, all cuts, untrimmed, baked, no added fat",100,G,29.2,0.0,0.0,0.0,9.5,202.3,Base Units,Very High,Very Low,High,"Very High, Very Low, High",103,21
GRAVIES AND SAVOURY SAUCES,"Gravy powder, dry mix",100,G,8.9,54.7,0.1,0.7,6.2,310.4,Base Units,High,Very High,Medium,"High, Very High, Medium",97,27
GRAVIES AND SAVOURY SAUCES,"Gravy, prepared from dry powder with water",100,G,0.7,4.5,0.0,0.0,0.5,25.3,Base Units,Very Low,Low,Very Low,"Very Low, Low, Very Low",5,119
GRAVIES AND SAVOURY SAUCES,"Mustard, cream style",100,G,5.8,6.2,4.1,3.6,3.1,84.1,Base Units,Medium,Low,Low,"Medium, Low, Low",56,68
GRAVIES AND SAVOURY SAUCES,"Paste, Indian style curry, commercial",100,G,4.8,10.2,5.4,4.2,26.4,308.4,Base Units,Medium,Medium,Very High,"Medium, Medium, Very High",64,60
GRAVIES AND SAVOURY SAUCES,"Paste, green curry, commercial",100,G,2.4,6.3,3.0,3.4,7.9,111.9,Base Units,Low,Low,High,"Low, Low, High",33,91
GRAVIES AND SAVOURY SAUCES,"Paste, soybean",100,G,12.9,19.7,4.3,10.4,5.1,184.9,Base Units,High,High,Medium,"High, High, Medium",92,32
GRAVIES AND SAVOURY SAUCES,"Paste, shrimp",100,G,21.0,0.0,0.0,0.0,1.0,93.0,Base Units,Very High,Very Low,Low,"Very High, Very Low, Low",101,23
HAMBURGER ,"Hamburger, white roll, beef patty, with cheese, onion, pickles & sauce, fast food chain",100,G,15.1,22.4,1.7,2.9,12.1,262.3,Base Units,High,High,High,"High, High, High",93,31
HAMBURGER ,"Hamburger, white roll, beef patty, with salad, independent takeaway outlet",100,G,12.1,18.0,2.6,1.3,9.1,207.5,Base Units,High,High,High,"High, High, High",93,31
HERBS,"Oregano, dried",100,G,9.0,26.4,42.5,4.1,4.3,265.3,Base Units,High,High,Medium,"High, High, Medium",92,32
HOTDOG,"Hot dog, bread roll, frankfurt & sauce filling",100,G,10.6,27.4,2.5,4.0,8.8,236.2,Base Units,High,High,High,"High, High, High",93,31
ICE CONFECTION,"Ice confection, stick, milk-based, various flavours",100,G,2.9,19.8,0.2,19.8,5.3,138.9,Base Units,Low,High,Medium,"Low, High, Medium",42,82
ICE CONFECTION,"Ice confection, stick, water-based, various flavours",100,G,0.2,17.1,0.0,17.1,0.0,69.2,Base Units,Very Low,High,Very Low,"Very Low, High, Very Low",15,109
ICE CONFECTION,"Ice confection, stick or tub, fruit juice or fruit flavoured",100,G,0.2,18.7,0.0,18.7,0.1,76.5,Base Units,Very Low,High,Very Low,"Very Low, High, Very Low",15,109
INFANT FORMULAE,"Milk, human/breast, mature, fluid",100,G,1.3,6.8,0.0,6.8,4.2,70.2,Base Units,Very Low,Low,Medium,"Very Low, Low, Medium",7,117
KANGAROO,"Kangaroo, steak, as purchased, raw",100,G,22.5,0.4,0.0,0.4,1.0,100.6,Base Units,Very High,Low,Low,"Very High, Low, Low",106,18
KANGAROO,"Kangaroo, steak, as purchased, fried, no added fat",100,G,34.6,0.6,0.0,0.6,1.5,154.3,Base Units,Very High,Low,Low,"Very High, Low, Low",106,18
KANGAROO,"Kangaroo, tail, raw",100,G,20.0,0.0,0.0,0.0,1.1,89.9,Base Units,High,Very Low,Low,"High, Very Low, Low",76,48
KANGAROO,"Kangaroo, tail, cooked, no added fat",100,G,24.4,0.0,0.0,0.0,1.3,109.3,Base Units,Very High,Very Low,Low,"Very High, Very Low, Low",101,23
KANGAROO,"Kangaroo, loin fillet, raw",100,G,21.4,0.0,0.0,0.0,0.9,93.7,Base Units,Very High,Very Low,Low,"Very High, Very Low, Low",101,23
KANGAROO,"Kangaroo, loin fillet, grilled, no added fat",100,G,30.1,0.0,0.0,0.0,1.2,131.2,Base Units,Very High,Very Low,Low,"Very High, Very Low, Low",101,23
KANGAROO,"Kangaroo, rump, baked, no added fat",100,G,33.9,0.0,0.0,0.0,2.5,158.1,Base Units,Very High,Very Low,Low,"Very High, Very Low, Low",101,23
KANGAROO,"Kangaroo, rump, raw",100,G,20.3,0.0,0.0,0.0,0.8,88.4,Base Units,Very High,Very Low,Low,"Very High, Very Low, Low",101,23
LAMB,"Lamb, all cuts, separable fat, raw",100,G,10.8,0.0,0.0,0.0,57.6,561.6,Base Units,High,Very Low,Very High,"High, Very Low, Very High",79,45
LAMB,"Lamb, all cuts, separable fat, cooked",100,G,16.2,0.0,0.0,0.0,53.4,545.4,Base Units,High,Very Low,Very High,"High, Very Low, Very High",79,45
LAMB,"Lamb, boneless, fillet or loin, untrimmed, raw",100,G,19.9,0.0,0.0,0.0,6.1,134.5,Base Units,High,Very Low,Medium,"High, Very Low, Medium",77,47
LAMB,"Lamb, boneless, fillet or loin, untrimmed, grilled, no added fat",100,G,26.9,0.0,0.0,0.0,6.5,166.1,Base Units,Very High,Very Low,Medium,"Very High, Very Low, Medium",102,22
LAMB,"Lamb, boneless, fillet or loin, lean, raw",100,G,20.3,0.0,0.0,0.0,4.0,117.2,Base Units,Very High,Very Low,Medium,"Very High, Very Low, Medium",102,22
LAMB,"Lamb, boneless, fillet or loin, lean, grilled, no added fat",100,G,27.2,0.0,0.0,0.0,5.6,159.2,Base Units,Very High,Very Low,Medium,"Very High, Very Low, Medium",102,22
LAMB,"Lamb, chop, with bone, loin or chump, lean, raw",100,G,25.6,0.0,0.0,0.0,4.6,143.8,Base Units,Very High,Very Low,Medium,"Very High, Very Low, Medium",102,22
LAMB,"Lamb, chop, with bone, loin or chump, lean, grilled, no added fat",100,G,32.0,0.0,0.0,0.0,9.6,214.4,Base Units,Very High,Very Low,High,"Very High, Very Low, High",103,21
LAMB,"Lamb, chop, with bone, loin or chump, semi-trimmed, raw",100,G,23.8,0.0,0.0,0.0,10.8,192.4,Base Units,Very High,Very Low,High,"Very High, Very Low, High",103,21
LAMB,"Lamb, chop, with bone, loin or chump, semi-trimmed, grilled, no added fat",100,G,30.2,0.0,0.0,0.0,14.3,249.5,Base Units,Very High,Very Low,High,"Very High, Very Low, High",103,21
LAMB,"Lamb, chop, with bone, loin or chump, untrimmed, raw",100,G,20.8,0.0,0.0,0.0,20.9,271.3,Base Units,Very High,Very Low,Very High,"Very High, Very Low, Very High",104,20
LAMB,"Lamb, chop, with bone, loin or chump, untrimmed, grilled, no added fat",100,G,28.4,0.0,0.0,0.0,19.4,288.2,Base Units,Very High,Very Low,Very High,"Very High, Very Low, Very High",104,20
LAMB,"Lamb, chop, with bone, chump, lean, raw",100,G,22.5,0.0,0.0,0.0,4.3,128.7,Base Units,Very High,Very Low,Medium,"Very High, Very Low, Medium",102,22
LAMB,"Lamb, chop, with bone, chump, lean, grilled, no added fat",100,G,34.1,0.0,0.0,0.0,10.2,228.2,Base Units,Very High,Very Low,High,"Very High, Very Low, High",103,21
LAMB,"Lamb, chop, with bone, chump, semi-trimmed, raw",100,G,21.1,0.0,0.0,0.0,10.6,179.8,Base Units,Very High,Very Low,High,"Very High, Very Low, High",103,21
LAMB,"Lamb, chop, with bone, chump, semi-trimmed, grilled, no added fat",100,G,31.7,0.0,0.0,0.0,16.0,270.8,Base Units,Very High,Very Low,Very High,"Very High, Very Low, Very High",104,20
LAMB,"Lamb, chop, with bone, chump, untrimmed, raw",100,G,19.6,0.0,0.0,0.0,17.5,235.9,Base Units,High,Very Low,Very High,"High, Very Low, Very High",79,45
LAMB,"Lamb, chop, with bone, chump, untrimmed, grilled, no added fat",100,G,30.0,0.0,0.0,0.0,20.0,300.0,Base Units,Very High,Very Low,Very High,"Very High, Very Low, Very High",104,20
LAMB,"Lamb, diced, lean, raw",100,G,21.3,0.0,0.0,0.0,5.2,132.0,Base Units,Very High,Very Low,Medium,"Very High, Very Low, Medium",102,22
LAMB,"Lamb, diced, lean, stir-fried, no added fat",100,G,31.3,0.0,0.0,0.0,6.5,183.7,Base Units,Very High,Very Low,Medium,"Very High, Very Low, Medium",102,22
LAMB,"Lamb, diced, lean, casseroled, no added fat",100,G,32.2,0.0,0.0,0.0,6.2,184.6,Base Units,Very High,Very Low,Medium,"Very High, Very Low, Medium",102,22
LAMB,"Lamb, diced, untrimmed, raw",100,G,21.1,0.0,0.0,0.0,6.2,140.2,Base Units,Very High,Very Low,Medium,"Very High, Very Low, Medium",102,22
LAMB,"Lamb, diced, untrimmed, stir-fried, no added fat",100,G,31.0,0.0,0.0,0.0,7.6,192.4,Base Units,Very High,Very Low,High,"Very High, Very Low, High",103,21
LAMB,"Lamb, diced, untrimmed, casseroled, no added fat",100,G,31.8,0.0,0.0,0.0,7.2,192.0,Base Units,Very High,Very Low,High,"Very High, Very Low, High",103,21
LAMB,"Lamb, boneless dice or strips, lean, raw",100,G,21.6,0.0,0.0,0.0,4.7,128.7,Base Units,Very High,Very Low,Medium,"Very High, Very Low, Medium",102,22
LAMB,"Lamb, boneless dice or strips, lean, stir-fried, no added fat",100,G,29.7,0.0,0.0,0.0,7.1,182.7,Base Units,Very High,Very Low,High,"Very High, Very Low, High",103,21
LAMB,"Lamb, boneless dice or strips, lean, casseroled, no added fat",100,G,32.2,0.0,0.0,0.0,6.2,184.6,Base Units,Very High,Very Low,Medium,"Very High, Very Low, Medium",102,22
LAMB,"Lamb, boneless dice or strips, untrimmed, raw",100,G,21.3,0.0,0.0,0.0,6.0,139.2,Base Units,Very High,Very Low,Medium,"Very High, Very Low, Medium",102,22
LAMB,"Lamb, boneless dice or strips, untrimmed, stir-fried, no added fat",100,G,29.4,0.0,0.0,0.0,7.9,188.7,Base Units,Very High,Very Low,High,"Very High, Very Low, High",103,21
LAMB,"Lamb, boneless dice or strips, untrimmed, casseroled, no added fat",100,G,31.9,0.0,0.0,0.0,7.0,190.6,Base Units,Very High,Very Low,High,"Very High, Very Low, High",103,21
LAMB,"Lamb, eye of loin, lean, raw",100,G,20.8,0.0,0.0,0.0,3.9,118.3,Base Units,Very High,Very Low,Low,"Very High, Very Low, Low",101,23
LAMB,"Lamb, eye of loin, lean, microwaved, no added fat",100,G,26.8,0.0,0.0,0.0,5.6,157.6,Base Units,Very High,Very Low,Medium,"Very High, Very Low, Medium",102,22
LAMB,"Lamb, eye of loin, untrimmed, raw",100,G,20.6,0.0,0.0,0.0,5.3,130.1,Base Units,Very High,Very Low,Medium,"Very High, Very Low, Medium",102,22
LAMB,"Lamb, eye of loin, untrimmed, microwaved, no added fat",100,G,26.6,0.0,0.0,0.0,6.5,164.9,Base Units,Very High,Very Low,Medium,"Very High, Very Low, Medium",102,22
LAMB,"Lamb, roasting piece, shoulder, lean, raw",100,G,18.2,0.0,0.0,0.0,4.3,111.5,Base Units,High,Very Low,Medium,"High, Very Low, Medium",77,47
LAMB,"Lamb, roasting piece, shoulder, lean, roasted, no added fat",100,G,29.6,0.0,0.0,0.0,5.4,167.0,Base Units,Very High,Very Low,Medium,"Very High, Very Low, Medium",102,22
LAMB,"Lamb, roasting piece, shoulder, semi-trimmed, raw",100,G,17.3,0.0,0.0,0.0,10.8,166.4,Base Units,High,Very Low,High,"High, Very Low, High",78,46
LAMB,"Lamb, roasting piece, shoulder, semi-trimmed, roasted, no added fat",100,G,28.2,0.0,0.0,0.0,10.2,204.6,Base Units,Very High,Very Low,High,"Very High, Very Low, High",103,21
LAMB,"Lamb, roasting piece, shoulder, untrimmed, raw",100,G,16.5,0.0,0.0,0.0,16.6,215.4,Base Units,High,Very Low,Very High,"High, Very Low, Very High",79,45
LAMB,"Lamb, roasting piece, shoulder, untrimmed, roasted, no added fat",100,G,26.2,0.0,0.0,0.0,17.5,262.3,Base Units,Very High,Very Low,Very High,"Very High, Very Low, Very High",104,20
LAMB,"Lamb, chop, with bone, forequarter, lean, raw",100,G,20.5,0.0,0.0,0.0,5.7,133.3,Base Units,Very High,Very Low,Medium,"Very High, Very Low, Medium",102,22
LAMB,"Lamb, chop, with bone, forequarter, lean, grilled, no added fat",100,G,28.0,0.0,0.0,0.0,11.4,214.6,Base Units,Very High,Very Low,High,"Very High, Very Low, High",103,21
LAMB,"Lamb, chop, with bone, forequarter, semi-trimmed, raw",100,G,18.2,0.0,0.0,0.0,17.9,233.9,Base Units,High,Very Low,Very High,"High, Very Low, Very High",79,45
LAMB,"Lamb, chop, with bone, forequarter, semi-trimmed, grilled, no added fat",100,G,26.2,0.0,0.0,0.0,17.9,265.9,Base Units,Very High,Very Low,Very High,"Very High, Very Low, Very High",104,20
LAMB,"Lamb, chop, with bone, forequarter, untrimmed, raw",100,G,17.4,0.0,0.0,0.0,22.4,271.2,Base Units,High,Very Low,Very High,"High, Very Low, Very High",79,45
LAMB,"Lamb, chop, with bone, forequarter, grilled, no added fat",100,G,25.6,0.0,0.0,0.0,19.9,281.5,Base Units,Very High,Very Low,Very High,"Very High, Very Low, Very High",104,20
LAMB,"Lamb, cutlet or frenched cutlet, with bone, lean, raw",100,G,20.9,0.0,0.0,0.0,6.2,139.4,Base Units,Very High,Very Low,Medium,"Very High, Very Low, Medium",102,22
LAMB,"Lamb, cutlet or frenched cutlet, with bone, lean, grilled, no added fat",100,G,30.5,0.0,0.0,0.0,8.6,199.4,Base Units,Very High,Very Low,High,"Very High, Very Low, High",103,21
LAMB,"Lamb, cutlet or frenched cutlet, with bone, semi-trimmed, raw",100,G,19.1,0.0,0.0,0.0,15.3,214.1,Base Units,High,Very Low,Very High,"High, Very Low, Very High",79,45
LAMB,"Lamb, cutlet or frenched cutlet, with bone, semi-trimmed, grilled, no added fat",100,G,27.8,0.0,0.0,0.0,17.1,265.1,Base Units,Very High,Very Low,Very High,"Very High, Very Low, Very High",104,20
LAMB,"Lamb, cutlet or frenched cutlet, with bone, untrimmed, raw",100,G,18.6,0.0,0.0,0.0,17.8,234.6,Base Units,High,Very Low,Very High,"High, Very Low, Very High",79,45
LAMB,"Lamb, cutlet or frenched cutlet, with bone, untrimmed, grilled, no added fat",100,G,27.2,0.0,0.0,0.0,18.9,278.9,Base Units,Very High,Very Low,Very High,"Very High, Very Low, Very High",104,20
LAMB,"Lamb, fillet, lean, raw",100,G,19.8,0.0,0.0,0.0,4.0,115.2,Base Units,High,Very Low,Medium,"High, Very Low, Medium",77,47
LAMB,"Lamb, fillet, lean, grilled, no added fat",100,G,27.5,0.0,0.0,0.0,5.5,159.5,Base Units,Very High,Very Low,Medium,"Very High, Very Low, Medium",102,22
LAMB,"Lamb, fillet, untrimmed, raw",100,G,19.3,0.0,0.0,0.0,6.9,139.3,Base Units,High,Very Low,High,"High, Very Low, High",78,46
LAMB,"Lamb, fillet, untrimmed, grilled, no added fat",100,G,27.2,0.0,0.0,0.0,6.6,168.2,Base Units,Very High,Very Low,High,"Very High, Very Low, High",103,21
LAMB,"Lamb, leg roast, lean, raw",100,G,21.1,0.0,0.0,0.0,3.2,113.2,Base Units,Very High,Very Low,Low,"Very High, Very Low, Low",101,23
LAMB,"Lamb, leg roast, lean, roasted, no added fat",100,G,30.6,0.0,0.0,0.0,6.0,176.4,Base Units,Very High,Very Low,Medium,"Very High, Very Low, Medium",102,22
LAMB,"Lamb, leg roast, semi-trimmed, raw",100,G,20.4,0.0,0.0,0.0,7.0,144.6,Base Units,Very High,Very Low,High,"Very High, Very Low, High",103,21
LAMB,"Lamb, leg roast, semi-trimmed, roasted, no added fat",100,G,29.7,0.0,0.0,0.0,9.1,200.7,Base Units,Very High,Very Low,High,"Very High, Very Low, High",103,21
LAMB,"Lamb, leg roast, untrimmed, raw",100,G,19.4,0.0,0.0,0.0,12.3,188.3,Base Units,High,Very Low,High,"High, Very Low, High",78,46
LAMB,"Lamb, leg roast, untrimmed, roasted, no added fat",100,G,28.5,0.0,0.0,0.0,12.8,229.2,Base Units,Very High,Very Low,High,"Very High, Very Low, High",103,21
LAMB,"Lamb, loin chop, lean, raw",100,G,28.6,0.0,0.0,0.0,5.0,159.4,Base Units,Very High,Very Low,Medium,"Very High, Very Low, Medium",102,22
LAMB,"Lamb, loin chop, lean, grilled, no added fat",100,G,29.8,0.0,0.0,0.0,9.1,201.1,Base Units,Very High,Very Low,High,"Very High, Very Low, High",103,21
LAMB,"Lamb, loin chop, semi-trimmed, raw",100,G,26.6,0.0,0.0,0.0,10.9,204.5,Base Units,Very High,Very Low,High,"Very High, Very Low, High",103,21
LAMB,"Lamb, loin chop, semi-trimmed, grilled, no added fat",100,G,28.7,0.0,0.0,0.0,12.6,228.2,Base Units,Very High,Very Low,High,"Very High, Very Low, High",103,21
LAMB,"Lamb, loin chop, untrimmed, raw",100,G,22.0,0.0,0.0,0.0,24.4,307.6,Base Units,Very High,Very Low,Very High,"Very High, Very Low, Very High",104,20
LAMB,"Lamb, loin chop, untrimmed, grilled, no added fat",100,G,26.8,0.0,0.0,0.0,18.9,277.3,Base Units,Very High,Very Low,Very High,"Very High, Very Low, Very High",104,20
LAMB,"Lamb, mince, raw",100,G,20.4,0.0,0.0,0.0,6.9,143.7,Base Units,Very High,Very Low,High,"Very High, Very Low, High",103,21
LAMB,"Lamb, mince, stir-fried, no added fat",100,G,24.4,0.0,0.0,0.0,8.5,174.1,Base Units,Very High,Very Low,High,"Very High, Very Low, High",103,21
LAMB,"Lamb, mini roast, lean, roasted, no added fat",100,G,27.8,0.0,0.0,0.0,5.6,161.6,Base Units,Very High,Very Low,Medium,"Very High, Very Low, Medium",102,22
LAMB,"Lamb, mini roast, semi-trimmed, roasted, no added fat",100,G,27.1,0.0,0.0,0.0,8.6,185.8,Base Units,Very High,Very Low,High,"Very High, Very Low, High",103,21
LAMB,"Lamb, mini roast, untrimmed, roasted, no added fat",100,G,26.5,0.0,0.0,0.0,11.0,205.0,Base Units,Very High,Very Low,High,"Very High, Very Low, High",103,21
LAMB,"Lamb, roasting piece, leg or mini roast, lean, raw",100,G,21.5,0.0,0.0,0.0,4.0,122.0,Base Units,Very High,Very Low,Medium,"Very High, Very Low, Medium",102,22
LAMB,"Lamb, roasting piece, leg or mini roast, lean, roasted, no added fat",100,G,29.2,0.0,0.0,0.0,5.8,169.0,Base Units,Very High,Very Low,Medium,"Very High, Very Low, Medium",102,22
LAMB,"Lamb, roasting piece, leg or mini roast, semi-trimmed, raw",100,G,20.8,0.0,0.0,0.0,7.6,151.6,Base Units,Very High,Very Low,High,"Very High, Very Low, High",103,21
LAMB,"Lamb, roasting piece, leg or mini roast, semi-trimmed, roasted, no added fat",100,G,28.4,0.0,0.0,0.0,8.8,192.8,Base Units,Very High,Very Low,High,"Very High, Very Low, High",103,21
LAMB,"Lamb, roasting piece, leg or mini roast, untrimmed, raw",100,G,19.9,0.0,0.0,0.0,12.0,187.6,Base Units,High,Very Low,High,"High, Very Low, High",78,46
LAMB,"Lamb, roasting piece, leg or mini roast, untrimmed, roasted, no added fat",100,G,27.5,0.0,0.0,0.0,11.9,217.1,Base Units,Very High,Very Low,High,"Very High, Very Low, High",103,21
LAMB,"Lamb, steak, boneless, lean, raw",100,G,21.9,0.0,0.0,0.0,4.7,129.9,Base Units,Very High,Very Low,Medium,"Very High, Very Low, Medium",102,22
LAMB,"Lamb, steak, boneless, lean, grilled, no added fat",100,G,30.8,0.0,0.0,0.0,6.6,182.6,Base Units,Very High,Very Low,High,"Very High, Very Low, High",103,21
LAMB,"Lamb, steak, boneless, semi-trimmed, raw",100,G,21.2,0.0,0.0,0.0,8.2,158.6,Base Units,Very High,Very Low,High,"Very High, Very Low, High",103,21
LAMB,"Lamb, steak, boneless, semi-trimmed, grilled, no added fat",100,G,29.9,0.0,0.0,0.0,9.6,206.0,Base Units,Very High,Very Low,High,"Very High, Very Low, High",103,21
